address,name,size,status,match_percent,unit,evidence
0x004011C0,Background::ClearSpellBackgroundState,11,matching,100.00,background-clear-spell-state,python3 scripts/build-match-unit.py --unit background-clear-spell-state && python3 scripts/compare-coff-function.py --unit background-clear-spell-state --json
0x00401600,AnmManager::SetCameraMode,16,matching,100.00,anm-manager-set-camera-mode,python3 scripts/build-match-unit.py --unit anm-manager-set-camera-mode && python3 scripts/compare-coff-function.py --unit anm-manager-set-camera-mode --json
0x00401610,AnmManager::SetMixColorDefault,14,matching,100.00,anm-manager-set-mix-color-default,python3 scripts/build-match-unit.py --unit anm-manager-set-mix-color-default && python3 scripts/compare-coff-function.py --unit anm-manager-set-mix-color-default --json
0x00401620,AnmManager::SetMixColor,19,matching,100.00,anm-manager-set-mix-color,python3 scripts/build-match-unit.py --unit anm-manager-set-mix-color && python3 scripts/compare-coff-function.py --unit anm-manager-set-mix-color --json
0x00401640,AnmManager::Draw2DAndFlush,27,matching,100.00,anm-manager-draw-2d-and-flush,python3 scripts/build-match-unit.py --unit anm-manager-draw-2d-and-flush && python3 scripts/compare-coff-function.py --unit anm-manager-draw-2d-and-flush --json
0x00401660,AnmManager::GetAnm,20,matching,100.00,anm-manager-get-anm,python3 scripts/build-match-unit.py --unit anm-manager-get-anm && python3 scripts/compare-coff-function.py --unit anm-manager-get-anm --json
0x004024D0,Background::DeletedCallback,85,matching,100.00,background-deleted-callback,python3 scripts/build-match-unit.py --unit background-deleted-callback && python3 scripts/compare-coff-function.py --unit background-deleted-callback --json
0x00402570,Background::LoadStageData,321,matching,100.00,background-load-stage-data,python3 scripts/build-match-unit.py --unit background-load-stage-data && python3 scripts/compare-coff-function.py --unit background-load-stage-data --json
0x00403A10,AnmVm::AnmVm,45,matching,100.00,anm-vm-constructor,python3 scripts/build-match-unit.py --unit anm-vm-constructor && python3 scripts/compare-coff-function.py --unit anm-vm-constructor --json
0x00415CF0,ShouldReleaseStageResources,6,matching,100.00,stage-resource-release-policy,python3 scripts/build-match-unit.py --unit stage-resource-release-policy && python3 scripts/compare-coff-function.py --unit stage-resource-release-policy --json
