name,address,type
GameErrorContext::ResetContext,0x0042D230,function
GameErrorContext::Flush,0x0042D240,function
GameErrorContext::Log,0x0042C5C0,function
GameErrorContext::Fatal,0x0042C660,function
FileSystem::WriteDataToFile,0x0042C4E0,function
FileSystem::ResolvePath,0x0042ADC0,function
FileSystem::CheckIfFileAlreadyExists,0x0042C480,function
Supervisor::EnterCriticalSectionWrapper,0x0042B130,function
Supervisor::LeaveCriticalSectionWrapper,0x0042B160,function
Chain::AddToCalcChain,0x0042B1E0,function
Chain::AddToDrawChain,0x0042B270,function
ChainElem::ChainElem,0x0042ABE0,function
ChainElem::~ChainElem,0x0042AC00,function
ChainElem::SetCallback,0x0041A889,function
Chain::CreateElem,0x0042B300,function
Chain::CutImpl,0x0042B350,function
Chain::Cut,0x0042C8C0,function
Chain::RunCalcChain,0x0042C700,function
Chain::RunDrawChain,0x0042C7E0,function
Controller::GetJoystickCaps,0x0042C8F0,function
FileSystem::OpenFile,0x0042C970,function
FileSystem::Decrypt,0x0042C180,function
FileSystem::Encrypt,0x0042C370,function
ZunMemory::Alloc,0x00401340,function
ZunMemory::Free,0x00401360,function
ZunMemory::AddToRegistry,0x00401380,function
PbgArchive::FindEntry,0x00433050,function
PbgArchive::GetEntryDecompressedSize,0x00433290,function
PbgArchive::ReadDecompressEntry,0x004331C0,function
AsciiManager::DeletedCallback,0x00434260,function
AsciiManager::CutChain,0x00434280,function
AsciiManager::AddString,0x004342A0,function
AsciiManager::AddFormatText,0x00434330,function
AsciiManager::SetSpaceWidth,0x004343C0,function
AsciiManager::AddedCallback,0x004344E0,function
AsciiManager::Reset,0x004343E0,function
AsciiManager::DrawStrings,0x00434540,function
AsciiManager::CreateScorePopup,0x004346A0,function
ZunTimer::SetCurrent,0x004014D0,function
ZunTimer::operator=,0x00401500,function
ZunTimer::Tick,0x004014B0,function
ZunTimer::operator float,0x004014F0,function
ZunTimer::operator++,0x00401510,function
ZunTimer::operator>=,0x00401520,function
ZunTimer::operator<,0x00401540,function
Supervisor::TickTimer,0x0042F4F0,function
Float3::Float3,0x004010B0,function
AnmLoaded::ExecuteAnmIdx,0x00401560,function
Float3::operator+,0x00401100,function
Float3::operator-,0x00401140,function
Float3::operator*,0x00401180,function
Supervisor::TakeSnapshot,0x0042F540,function
Supervisor::LoadConfig,0x0042F7C0,function
GameConfiguration::Initialize,0x0041A8A2,function
GameConfiguration::GameConfiguration,0x0041A98B,function
GameManagerSetupLayout::AdvanceTimedState,0x0041AA07,function
GameManagerSetupLayout::AddedCallback,0x0041B76F,function
GameManagerSetupLayout::DeletedCallback,0x0041B82A,function
GameManagerSetupLayout::RegisterChain,0x0041B9D0,function
GameManagerSetupLayout::OnDraw,0x0041A75F,function
Supervisor::StartupThread,0x00431D10,function
Supervisor::AddedCallback,0x00432090,function
SupervisorCheckFps,0x0042F1A0,function
SupervisorRegisterChain,0x00432180,function
SupervisorDeletedCallback,0x00431B70,function
SupervisorDrawFps,0x00431B30,function
SupervisorDrawMain,0x00431540,function
SupervisorDrawLoading,0x0042ED80,function
